DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
Compresseur Air sec MXF;"INSTRUMENTATION";;"IRAP00-0035";;"CNRS";;;;;;;;;"1428";;;"207";;;"LE COMTE";;02/02/2000
LYNXOS;;;"IRAP00-0036";;"CNRS";;;;;3943,53;;;21830000;;;;"208";;;;;"07/06/2000"
SUPPORT BRONZE ANNUEL;"INSTRUMENTATION";;"IRAP00-0037";;"CNRS";;;;;2026,44;;;20530000;;;;"208";;;;;"13/06/2000"
LASERJET 4000N +KIT HP;"ELECTRONIQUE";;"IRAP00-0038";;"CNRS";;;;;1774,36;;;21830000;;;;"209";;;;;"21/06/2000"
COMMUTATEURS;"INFORMATIQUE";;"IRAP00-0039";;"CNRS";;;;;2047,09;;;21540000;;;;"210";;;;;"28/06/2000"
BASE EXPLORA 450SPACE;;;"IRAP00-0040";;"CNRS";;;;;1392,01;;;21830000;;;;"210";;;;;"13/07/2000"
GENERATEUR 2 VOIES D'IMP;"ELECTRONIQUE";;"IRAP00-0041";;"CNRS";;;;;1520,22;;;21540000;;;;"214";;;;;"18/08/2000"
OSCILLOSCOPE;"ELECTRONIQUE";;"IRAP00-0042";;"CNRS";;;;;19850,90;;;21540000;;;;"214";;;;;"30/10/2000"
LASERJET 4050N;"INFORMATIQUE";;"IRAP00-0043";;"CNRS";;;;;1316,73;;;21830000;;;;"215";;;;;"08/11/2000"
LASERJET 4050N;"INFORMATIQUE";;"IRAP00-0044";;"CNRS";;;;;1628,48;;;21830000;;;;"221";;;;;"08/11/2000"
OSCILLOSCOPE TEKTRONIX;"ELECTRONIQUE";;"IRAP00-0045";;"CNRS";;;;;9201,87;;;21530000;;;;"224";;;;;"14/11/2000"
